DATO,PG,PP,PF,PC,R,,,,,,,,,,
0,0,2,94,110,0,,,,,,,,,,
1,0,2,91,107,0,,,,,,,,,,
2,2,0,110,109,1,,,,,,,,,,
3,2,0,92,83,1,,,,,,,,,,
4,1,1,92,83,1,,,,,,,,,,
5,1,1,86,87,0,,,,,,,,,,
6,1,1,96,109,0,,,,,,,,,,
7,1,1,92,86,1,,,,,,,,,,
8,2,0,88,87,1,,,,,,,,,,
9,2,0,97,94,1,,,,,,,,,,
10,1,1,95,116,0,,,,,,,,,,
11,1,1,113,99,1,,,,,,,,,,
12,2,0,107,104,1,,,,,,,,,,
13,2,0,101,92,1,,,,,,,,,,
14,1,1,96,113,0,,,,,,,,,,
15,1,1,118,111,1,,,,,,,,,,
16,1,1,112,104,1,,,,,,,,,,
17,1,1,100,107,0,,,,,,,,,,
18,0,2,107,113,0,,,,,,,,,,
19,0,2,95,115,0,,,,,,,,,,
20,1,1,96,107,0,,,,,,,,,,
21,1,1,108,107,1,,,,,,,,,,
22,1,1,129,128,1,,,,,,,,,,
23,1,1,107,120,0,,,,,,,,,,
24,1,1,107,139,0,,,,,,,,,,
25,1,1,114,112,1,,,,,,,,,,
26,1,1,96,95,1,,,,,,,,,,
27,1,1,113,121,0,,,,,,,,,,
28,1,1,108,130,0,,,,,,,,,,
29,1,1,117,102,1,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
